"Date","Price","Open","High","Low","Change %"
"Jan 16, 2019","109.09","108.69","109.20","108.38","0.39%"
"Jan 15, 2019","108.67","108.16","108.77","108.13","0.46%"
"Jan 14, 2019","108.17","108.47","108.56","107.97","-0.26%"
"Jan 13, 2019","108.46","108.57","108.57","108.36","-0.09%"
"Jan 11, 2019","108.55","108.43","108.60","108.14","0.12%"
"Jan 10, 2019","108.42","108.16","108.52","107.77","0.23%"
"Jan 09, 2019","108.17","108.75","109.00","107.97","-0.53%"
"Jan 08, 2019","108.75","108.72","109.09","108.44","0.03%"
"Jan 07, 2019","108.72","108.55","108.75","108.03","0.17%"
"Jan 06, 2019","108.54","108.56","108.75","108.36","0.00%"
"Jan 04, 2019","108.53","107.67","108.59","107.51","0.80%"
"Jan 03, 2019","107.67","108.89","108.92","104.97","-1.11%"
"Jan 02, 2019","108.88","109.67","109.73","108.71","-0.77%"
"Jan 01, 2019","109.72","109.57","109.79","109.57","0.13%"
"Dec 31, 2018","109.58","110.44","110.48","109.55","-0.68%"
"Dec 30, 2018","110.32","110.42","110.42","110.27","0.04%"
"Dec 28, 2018","110.28","110.97","111.06","110.14","-0.65%"
"Dec 27, 2018","111.00","111.38","111.39","110.45","-0.32%"
"Dec 26, 2018","111.36","110.31","111.42","110.14","0.98%"
"Dec 25, 2018","110.28","110.44","110.47","110.00","-0.15%"
"Dec 24, 2018","110.45","110.95","111.21","110.27","-0.56%"
"Dec 23, 2018","111.07","110.97","111.19","110.96","-0.13%"
"Dec 21, 2018","111.22","111.30","111.47","110.94","-0.05%"
"Dec 20, 2018","111.28","112.47","112.61","110.81","-1.07%"
"Dec 19, 2018","112.48","112.52","112.66","112.09","-0.04%"
"Dec 18, 2018","112.53","112.83","112.88","112.25","-0.27%"
"Dec 17, 2018","112.83","113.32","113.53","112.68","-0.50%"
"Dec 16, 2018","113.40","113.36","113.40","113.32","0.01%"
"Dec 14, 2018","113.39","113.64","113.69","113.22","-0.22%"
"Dec 13, 2018","113.64","113.28","113.72","113.20","0.32%"
"Dec 12, 2018","113.28","113.39","113.53","113.14","-0.10%"
